DBH,Height,log DBH,log Height
6.6,6.2,0.819543936,0.792391689
8.9,5.5,0.949390007,0.740362689
10.1,7,1.004321374,0.84509804
10.9,7.5,1.037426498,0.875061263
15,8,1.176091259,0.903089987
15.3,9,1.184691431,0.954242509
15.3,9.2,1.184691431,0.963787827
4.5,3.6,0.653212514,0.556302501
5.6,4.5,0.748188027,0.653212514
5.9,4.7,0.770852012,0.672097858
6.1,5,0.785329835,0.698970004
6.2,5.5,0.792391689,0.740362689
6.3,5.6,0.799340549,0.748188027
3.6,3.1,0.556302501,0.491361694
4.8,3.5,0.681241237,0.544068044
4.9,3.6,0.69019608,0.556302501
5.1,4,0.707570176,0.602059991
5,5,0.698970004,0.698970004
5,5.2,0.698970004,0.716003344
3,3.1,0.477121255,0.491361694
4.4,4.5,0.643452676,0.653212514
6.2,4.8,0.792391689,0.681241237
7.7,5.2,0.886490725,0.716003344
8.9,6,0.949390007,0.77815125
9.3,6,0.968482949,0.77815125
2.6,2.6,0.414973348,0.414973348
4,4,0.602059991,0.602059991
4.7,4.9,0.672097858,0.69019608
5.1,5.3,0.707570176,0.72427587
5.7,5.5,0.755874856,0.740362689
6.3,5.6,0.799340549,0.748188027
4.4,3.2,0.643452676,0.505149978
5.8,3.6,0.763427994,0.556302501
7.2,4.1,0.857332496,0.612783857
6.7,5,0.826074803,0.698970004
8.4,5.5,0.924279286,0.740362689
8.8,5.7,0.944482672,0.755874856
2.9,2.6,0.462397998,0.414973348
4,3.1,0.602059991,0.491361694
5,3.5,0.698970004,0.544068044
5.5,4.7,0.740362689,0.672097858
7.4,5.5,0.86923172,0.740362689
7.6,5.7,0.880813592,0.755874856
7,3.9,0.84509804,0.591064607
8.2,4.7,0.913813852,0.672097858
9.7,5,0.986771734,0.698970004
9.7,5.5,0.986771734,0.740362689
9.8,6,0.991226076,0.77815125
9.3,6.1,0.968482949,0.785329835
5.8,3.85,0.763427994,0.58546073
7.2,5.4,0.857332496,0.73239376
7.3,6,0.86332286,0.77815125
10.2,7.5,1.008600172,0.875061263
9.8,8,0.991226076,0.903089987
9.8,8.1,0.991226076,0.908485019
6.9,5.3,0.838849091,0.72427587
8,6.6,0.903089987,0.819543936
8.5,7.5,0.929418926,0.875061263
10.1,8,1.004321374,0.903089987
10.2,8.5,1.008600172,0.929418926
10.2,8.6,1.008600172,0.934498451
3.7,3.2,0.568201724,0.505149978
3.8,3.6,0.579783597,0.556302501
4,4,0.602059991,0.602059991
4,4.2,0.602059991,0.62324929
4,6,0.602059991,0.77815125
4,6.1,0.602059991,0.785329835
2.7,2.7,0.431363764,0.431363764
3.7,3.9,0.568201724,0.591064607
4.2,4.4,0.62324929,0.643452676
4.2,5,0.62324929,0.698970004
4.5,5.3,0.653212514,0.72427587
5,5.4,0.698970004,0.73239376
3.2,2.8,0.505149978,0.447158031
3.9,3.9,0.591064607,0.591064607
4.2,4.4,0.62324929,0.643452676
4.4,4.8,0.643452676,0.681241237
5,5,0.698970004,0.698970004
5.1,5,0.707570176,0.698970004
4.9,4.5,0.69019608,0.653212514
5.8,4.7,0.763427994,0.672097858
6.8,5.3,0.832508913,0.72427587
7.1,5.5,0.851258349,0.740362689
7.7,6,0.886490725,0.77815125
7.7,6,0.886490725,0.77815125
4.2,3.7,0.62324929,0.568201724
4.6,4.1,0.662757832,0.612783857
5.4,4.5,0.73239376,0.653212514
5.4,4.7,0.73239376,0.672097858
5.6,5,0.748188027,0.698970004
5.7,5.2,0.755874856,0.716003344
7.5,4.2,0.875061263,0.62324929
9.7,5,0.986771734,0.698970004
11.4,7,1.056904851,0.84509804
12.2,7.2,1.086359831,0.857332496
13,8,1.113943352,0.903089987
13,8.3,1.113943352,0.919078092
2,2.4,0.301029996,0.380211242
2.5,2.7,0.397940009,0.431363764
4,5,0.602059991,0.698970004
4.7,5.4,0.672097858,0.73239376
5,6,0.698970004,0.77815125
2.2,2,0.342422681,0.301029996
4.4,2.5,0.643452676,0.397940009
4.5,3.5,0.653212514,0.544068044
5.8,4,0.763427994,0.602059991
5.9,4.5,0.770852012,0.653212514
5.9,4.6,0.770852012,0.662757832
2.4,2.1,0.380211242,0.322219295
3.5,2.45,0.544068044,0.389166084
4.1,3,0.612783857,0.477121255
4.8,3.2,0.681241237,0.505149978
5.6,4,0.748188027,0.602059991
5.6,4.1,0.748188027,0.612783857
2.2,1.8,0.342422681,0.255272505
4,3.3,0.602059991,0.51851394
4.8,3.7,0.681241237,0.568201724
5.9,4.2,0.770852012,0.62324929
6.8,5,0.832508913,0.698970004
6.9,5.3,0.838849091,0.72427587
5.4,3.35,0.73239376,0.525044807
6.1,3.6,0.785329835,0.556302501
6.1,3.7,0.785329835,0.568201724
6.2,3.8,0.792391689,0.579783597
6.1,4,0.785329835,0.602059991
6.1,4.1,0.785329835,0.612783857
3,2.1,0.477121255,0.322219295
3.9,2.2,0.591064607,0.342422681
4,2.3,0.602059991,0.361727836
4.1,2.7,0.612783857,0.431363764
4.2,2.75,0.62324929,0.439332694
2.3,2.3,0.361727836,0.361727836
3,3,0.477121255,0.477121255
4.2,3.15,0.62324929,0.498310554
5,3.7,0.698970004,0.568201724
5.4,4,0.73239376,0.602059991
5.6,4.1,0.748188027,0.612783857
6.5,5,0.812913357,0.698970004
3.7,3.2,0.568201724,0.505149978
4.4,3.65,0.643452676,0.562292864
4.5,3.7,0.653212514,0.568201724
3.2,2.8,0.505149978,0.447158031
3.5,3.1,0.544068044,0.491361694
3,2.9,0.477121255,0.462397998
3.3,3.2,0.51851394,0.505149978
4,3.3,0.602059991,0.51851394
4.3,3.5,0.633468456,0.544068044
4,4.1,0.602059991,0.612783857
2.8,3,0.447158031,0.477121255
2.9,3.7,0.462397998,0.568201724
7,4.1,0.84509804,0.612783857
7.2,5,0.857332496,0.698970004
8.2,5.5,0.913813852,0.740362689
8.2,6,0.913813852,0.77815125
8.7,5,0.939519253,0.698970004
8.7,5,0.939519253,0.698970004
4.7,4,0.672097858,0.602059991
5.3,4,0.72427587,0.602059991
5.3,3.9,0.72427587,0.591064607
5.3,4,0.72427587,0.602059991
5.2,4.5,0.716003344,0.653212514
5.8,5,0.763427994,0.698970004
6.3,6,0.799340549,0.77815125
6.6,6.1,0.819543936,0.785329835
3.2,2.25,0.505149978,0.352182518
4.5,3,0.653212514,0.477121255
3.7,3.5,0.568201724,0.544068044
4.2,3.6,0.62324929,0.556302501
4.6,3.2,0.662757832,0.505149978
6,3.5,0.77815125,0.544068044
