ht,rd
15,24.3
11,15.2
9,10.9
10,12
20,23.9
19,14.8
21,17.4
19,14.9
23,32.8
9,15.4
24,27.1
28,29.6
23,36
15,16.8
24,34.5
10,12.4
15,11.5
9,13.4
14,14.9
20,21.3
8,24
7,13.3
21,23.3
25,22.5
21,20.6
19,22.7
10,14
16,14
9,10
6,18.2
9,10.4
12,33.6
22,25.2
17,26.1
13,14.3
11,14.3
27,24.5
14,17.9
16,22.4
11,10.1
7,15.4
11,19.1
16,25.4
14,12.3
14,24.1
11,14
14,13.5
15,20
22,19.1
11,18.7
16,17.3
17,22.6
8,11.4
10,10.2
13,18.2
13,23.5
14,32.6
22,22.3
21,28.4
13,19.3
10,10.3
16,30.4
16,16.7
20,17
12,16
6,12.1
11,10.6
17,28.3
11,17.1
12,12.1
10,17.7
16,29.6
9,11
10,19.3
16,20
15,16.3
6,10
10,14.4
9,12
12,23.3
15,17.3
9,11.1
10,15
28,33.2
19,25.9
19,11.5
16,24.7
11,12.4
11,12
16,28.2
12,15
14,20.6
14,15.9
12,11
12,11.9
10,11.4
12,24.4
11,13.2
12,17.8
14,18
11,29.5
11,21.1
10,11.5
13,24.5
14,25.1
6,14.5
16,18.7
17,13.3
8,10.5
11,12.8
12,22.1
17,25.5
16,14.7
25,29.3
11,10.2
16,20.2
17,24.5
9,19.2
11,13.7
23,31.5
11,12
22,22.5
22,17.1
13,15
12,12.3
12,24.6
23,32.1
23,33.2
14,15.7
13,13.9
21,21.2
23,25.9
11,14.2
22,32.3
14,10.9
10,10
9,15
17,21.1
16,13.2
9,14.7
13,14.4
13,13.3
23,56.4
28,37
24,51.9
35,143.3
19,84.6
25,83.1
29,118.8
35,107.6
32,99.3
35,108.7
23,59.1
31,142.2
29,110.4
20,36.9
19,43.8
19,49.3
30,131.5
22,61.4
24,144.3
24,126
23,37.8
31,56.1
23,58
31,43.5
37,124.5
28,43.3
35,63.5
35,62.8
31,68
19,39.2
28,45.9
19,37.4
24,53.8
29,121.5
35,94
38,133.5
26,61
21,56.5
18,74.4
19,37.1
38,103.2
23,49.8
18,40.5
34,115.8
21,42.4
19,62.5
19,42.7
21,109
30,118.1
22,60.6
25,101.6
24,121.6
21,81.1
22,53.1
28,88.7
30,67.8
28,48.2
19,44.5
18,52.6
31,94.3
27,128
22,68.3
19,39.4
22,51.9
21,47.6
22,64.2
26,108.3
28,110.6
21,92.2
