Treatment,Block,Plot,Tree_ID,Species,Sample_ID,Measurement_Period,Year,Month,DBH,Height,Comments
Control,B1,P3,i173,Rollinia exsucca,Control>B1>P3>i173>Rollinia exsucca,4-Jul,2004,July,14.4,9,
Control,B1,P3,i173,Rollinia exsucca,Control>B1>P3>i173>Rollinia exsucca,5-Jul,2005,July,14.5,9.3,
Control,B1,P3,i174,Rollinia exsucca,Control>B1>P3>i174>Rollinia exsucca,Nov-99,1999,November,8.8,4.5,
Control,B1,P3,i174,Rollinia exsucca,Control>B1>P3>i174>Rollinia exsucca,May-00,2000,May,10.1,5.2,
Control,B1,P3,i174,Rollinia exsucca,Control>B1>P3>i174>Rollinia exsucca,1-Jun,2001,June,10.7,5.6,
Control,B1,P3,i174,Rollinia exsucca,Control>B1>P3>i174>Rollinia exsucca,2-Jul,2002,July,12.4,7.2,
Control,B1,P3,i174,Rollinia exsucca,Control>B1>P3>i174>Rollinia exsucca,4-Jul,2004,July,12.7,8.5,
Control,B1,P3,i174,Rollinia exsucca,Control>B1>P3>i174>Rollinia exsucca,5-Jul,2005,July,12.7,8.5,
Control,B1,P3,i175,Rollinia exsucca,Control>B1>P3>i175>Rollinia exsucca,Nov-99,1999,November,3.6,3.1,
Control,B1,P3,i175,Rollinia exsucca,Control>B1>P3>i175>Rollinia exsucca,May-00,2000,May,4.8,3.65,
Control,B1,P3,i175,Rollinia exsucca,Control>B1>P3>i175>Rollinia exsucca,1-Jun,2001,June,5.3,4.7,
Control,B1,P3,i175,Rollinia exsucca,Control>B1>P3>i175>Rollinia exsucca,2-Jul,2002,July,5.6,5,
Control,B1,P3,i175,Rollinia exsucca,Control>B1>P3>i175>Rollinia exsucca,4-Jul,2004,July,6.4,5.5,
Control,B1,P3,i175,Rollinia exsucca,Control>B1>P3>i175>Rollinia exsucca,5-Jul,2005,July,6.9,5.7,
Control,B1,P3,i176,Rollinia exsucca,Control>B1>P3>i176>Rollinia exsucca,Nov-99,1999,November,3.8,3.5,
Control,B1,P3,i176,Rollinia exsucca,Control>B1>P3>i176>Rollinia exsucca,May-00,2000,May,4.5,3.4,
Control,B1,P3,i176,Rollinia exsucca,Control>B1>P3>i176>Rollinia exsucca,1-Jun,2001,June,5,4.5,
Control,B1,P3,i176,Rollinia exsucca,Control>B1>P3>i176>Rollinia exsucca,2-Jul,2002,July,5.1,4.7,
Control,B1,P3,i176,Rollinia exsucca,Control>B1>P3>i176>Rollinia exsucca,4-Jul,2004,July,5.1,5,
Control,B1,P3,i176,Rollinia exsucca,Control>B1>P3>i176>Rollinia exsucca,5-Jul,2005,July,5.2,5.3,
Control,B1,P3,i177,Rollinia exsucca,Control>B1>P3>i177>Rollinia exsucca,Nov-99,1999,November,2.7,2.2,
Control,B1,P3,i177,Rollinia exsucca,Control>B1>P3>i177>Rollinia exsucca,May-00,2000,May,3.8,3.7,
Control,B1,P3,i177,Rollinia exsucca,Control>B1>P3>i177>Rollinia exsucca,1-Jun,2001,June,4.9,4.5,
Control,B1,P3,i177,Rollinia exsucca,Control>B1>P3>i177>Rollinia exsucca,2-Jul,2002,July,5.1,5,
Control,B1,P3,i177,Rollinia exsucca,Control>B1>P3>i177>Rollinia exsucca,4-Jul,2004,July,6.8,5.5,
Control,B1,P3,i177,Rollinia exsucca,Control>B1>P3>i177>Rollinia exsucca,5-Jul,2005,July,6.9,5.7,
Control,B1,P3,i178,Solanum crinitum,Control>B1>P3>i178>Solanum crinitum,Nov-99,1999,November,3.3,3.5,
Control,B1,P3,i178,Solanum crinitum,Control>B1>P3>i178>Solanum crinitum,May-00,2000,May,3.4,3.8,
Control,B1,P3,i178,Solanum crinitum,Control>B1>P3>i178>Solanum crinitum,1-Jun,2001,June,3.4,3.9,
Control,B1,P3,i179,Pradosia granulosa,Control>B1>P3>i179>Pradosia granulosa,Nov-99,1999,November,6.2,3.2,
Control,B1,P3,i179,Pradosia granulosa,Control>B1>P3>i179>Pradosia granulosa,May-00,2000,May,6.6,3.8,
Control,B1,P3,i179,Pradosia granulosa,Control>B1>P3>i179>Pradosia granulosa,1-Jun,2001,June,6.6,4,
Control,B1,P3,i179,Pradosia granulosa,Control>B1>P3>i179>Pradosia granulosa,2-Jul,2002,July,7.4,4.2,
Control,B1,P3,i179,Pradosia granulosa,Control>B1>P3>i179>Pradosia granulosa,4-Jul,2004,July,8.1,5.2,
Control,B1,P3,i179,Pradosia granulosa,Control>B1>P3>i179>Pradosia granulosa,5-Jul,2005,July,8.7,5.5,
Control,B1,P3,i180,Pradosia granulosa,Control>B1>P3>i180>Pradosia granulosa,Nov-99,1999,November,3.8,2.8,
Control,B1,P3,i180,Pradosia granulosa,Control>B1>P3>i180>Pradosia granulosa,May-00,2000,May,4.4,3.8,
Control,B1,P3,i180,Pradosia granulosa,Control>B1>P3>i180>Pradosia granulosa,1-Jun,2001,June,4.9,4,
Control,B1,P3,i180,Pradosia granulosa,Control>B1>P3>i180>Pradosia granulosa,2-Jul,2002,July,5.4,4.2,
Control,B1,P3,i180,Pradosia granulosa,Control>B1>P3>i180>Pradosia granulosa,4-Jul,2004,July,5.9,5,
Control,B1,P3,i180,Pradosia granulosa,Control>B1>P3>i180>Pradosia granulosa,5-Jul,2005,July,5.9,5.1,
Control,B1,P3,i181,Rollinia exsucca,Control>B1>P3>i181>Rollinia exsucca,Nov-99,1999,November,2.6,2.4,
Control,B1,P3,i181,Rollinia exsucca,Control>B1>P3>i181>Rollinia exsucca,May-00,2000,May,4.2,2.6,
Control,B1,P3,i181,Rollinia exsucca,Control>B1>P3>i181>Rollinia exsucca,1-Jun,2001,June,4.6,4.5,
Control,B1,P3,i181,Rollinia exsucca,Control>B1>P3>i181>Rollinia exsucca,2-Jul,2002,July,5.2,5,
Control,B1,P3,i181,Rollinia exsucca,Control>B1>P3>i181>Rollinia exsucca,4-Jul,2004,July,5.7,6,
Control,B1,P3,i181,Rollinia exsucca,Control>B1>P3>i181>Rollinia exsucca,5-Jul,2005,July,5.7,6.2,
Control,B1,P3,i182,Solanum crinitum,Control>B1>P3>i182>Solanum crinitum,Nov-99,1999,November,2.2,2.6,
Control,B1,P3,i183,Solanum crinitum,Control>B1>P3>i183>Solanum crinitum,Nov-99,1999,November,4.1,4.8,
Control,B1,P3,i183,Solanum crinitum,Control>B1>P3>i183>Solanum crinitum,May-00,2000,May,4.2,4.8,
Control,B1,P3,i184,Rollinia exsucca,Control>B1>P3>i184>Rollinia exsucca,Nov-99,1999,November,5.3,3.8,
Control,B1,P3,i184,Rollinia exsucca,Control>B1>P3>i184>Rollinia exsucca,May-00,2000,May,6.2,4.2,
Control,B1,P3,i184,Rollinia exsucca,Control>B1>P3>i184>Rollinia exsucca,1-Jun,2001,June,7,5,
Control,B1,P3,i184,Rollinia exsucca,Control>B1>P3>i184>Rollinia exsucca,2-Jul,2002,July,7.1,5.4,
Control,B1,P3,i184,Rollinia exsucca,Control>B1>P3>i184>Rollinia exsucca,4-Jul,2004,July,7.1,5.7,
Control,B1,P3,i184,Rollinia exsucca,Control>B1>P3>i184>Rollinia exsucca,5-Jul,2005,July,7.2,5.8,
Control,B1,P3,i185,Rollinia exsucca,Control>B1>P3>i185>Rollinia exsucca,Nov-99,1999,November,5.4,3.5,
Control,B1,P3,i185,Rollinia exsucca,Control>B1>P3>i185>Rollinia exsucca,May-00,2000,May,7,4.75,
Control,B1,P3,i185,Rollinia exsucca,Control>B1>P3>i185>Rollinia exsucca,1-Jun,2001,June,8.8,5,
Control,B1,P3,i185,Rollinia exsucca,Control>B1>P3>i185>Rollinia exsucca,2-Jul,2002,July,9.6,5.7,
Control,B1,P3,i185,Rollinia exsucca,Control>B1>P3>i185>Rollinia exsucca,4-Jul,2004,July,10,6,
Control,B1,P3,i185,Rollinia exsucca,Control>B1>P3>i185>Rollinia exsucca,5-Jul,2005,July,11,6.5,
Control,B1,P3,i186,Lacistema pubescens,Control>B1>P3>i186>Lacistema pubescens,Nov-99,1999,November,3.5,2.8,
Control,B1,P3,i186,Lacistema pubescens,Control>B1>P3>i186>Lacistema pubescens,May-00,2000,May,4.1,3.1,
Control,B1,P3,i186,Lacistema pubescens,Control>B1>P3>i186>Lacistema pubescens,1-Jun,2001,June,5,3.5,
Control,B1,P3,i186,Lacistema pubescens,Control>B1>P3>i186>Lacistema pubescens,2-Jul,2002,July,5.7,5,
Control,B1,P3,i186,Lacistema pubescens,Control>B1>P3>i186>Lacistema pubescens,4-Jul,2004,July,7.1,5.5,
Control,B1,P3,i186,Lacistema pubescens,Control>B1>P3>i186>Lacistema pubescens,5-Jul,2005,July,7.4,5.7,
Control,B1,P3,i187,Annona paludosa,Control>B1>P3>i187>Annona paludosa,Nov-99,1999,November,6.8,4.8,
Control,B1,P3,i187,Annona paludosa,Control>B1>P3>i187>Annona paludosa,May-00,2000,May,8.2,5.7,
Control,B1,P3,i187,Annona paludosa,Control>B1>P3>i187>Annona paludosa,1-Jun,2001,June,8.7,6,
Control,B1,P3,i187,Annona paludosa,Control>B1>P3>i187>Annona paludosa,2-Jul,2002,July,9.6,7.2,
Control,B1,P3,i187,Annona paludosa,Control>B1>P3>i187>Annona paludosa,4-Jul,2004,July,11.3,9,
Control,B1,P3,i187,Annona paludosa,Control>B1>P3>i187>Annona paludosa,5-Jul,2005,July,11.3,9.3,
Control,B1,P3,i188,Rollinia exsucca,Control>B1>P3>i188>Rollinia exsucca,Nov-99,1999,November,7.9,4.2,
Control,B1,P3,i188,Rollinia exsucca,Control>B1>P3>i188>Rollinia exsucca,May-00,2000,May,9.4,5.2,
Control,B1,P3,i188,Rollinia exsucca,Control>B1>P3>i188>Rollinia exsucca,1-Jun,2001,June,9.7,5.6,
