Treatment,Block,Plot,Tree_ID,Species,Sample_ID,Measurement_Period,Year,Month,DBH,Height,Comments
Phosphorus,B1,P2,i142,Rollinia exsucca,Phosphorus>B1>P2>i142>Rollinia exsucca,2-Jul,2002,July,5.5,4,
Phosphorus,B1,P2,i142,Rollinia exsucca,Phosphorus>B1>P2>i142>Rollinia exsucca,4-Jul,2004,July,5.5,4.5,
Phosphorus,B1,P2,i142,Rollinia exsucca,Phosphorus>B1>P2>i142>Rollinia exsucca,5-Jul,2005,July,5.6,4.7,
Phosphorus,B1,P2,i143,Rollinia exsucca,Phosphorus>B1>P2>i143>Rollinia exsucca,Nov-99,1999,November,4.6,2.8,A bush with 4 individual trunks
Phosphorus,B1,P2,i143,Rollinia exsucca,Phosphorus>B1>P2>i143>Rollinia exsucca,May-00,2000,May,5.7,3.7,
Phosphorus,B1,P2,i143,Rollinia exsucca,Phosphorus>B1>P2>i143>Rollinia exsucca,1-Jun,2001,June,6.1,4,
Phosphorus,B1,P2,i143,Rollinia exsucca,Phosphorus>B1>P2>i143>Rollinia exsucca,2-Jul,2002,July,6.2,4.3,
Phosphorus,B1,P2,i143,Rollinia exsucca,Phosphorus>B1>P2>i143>Rollinia exsucca,4-Jul,2004,July,7.7,5,
Phosphorus,B1,P2,i143,Rollinia exsucca,Phosphorus>B1>P2>i143>Rollinia exsucca,5-Jul,2005,July,7.1,5,
Phosphorus,B1,P2,i144,Rollinia exsucca,Phosphorus>B1>P2>i144>Rollinia exsucca,Nov-99,1999,November,3.6,2.25,
Phosphorus,B1,P2,i144,Rollinia exsucca,Phosphorus>B1>P2>i144>Rollinia exsucca,May-00,2000,May,4.7,2.6,
Phosphorus,B1,P2,i144,Rollinia exsucca,Phosphorus>B1>P2>i144>Rollinia exsucca,1-Jun,2001,June,5.1,2.8,
Phosphorus,B1,P2,i144,Rollinia exsucca,Phosphorus>B1>P2>i144>Rollinia exsucca,2-Jul,2002,July,5.4,3.2,
Phosphorus,B1,P2,i144,Rollinia exsucca,Phosphorus>B1>P2>i144>Rollinia exsucca,4-Jul,2004,July,5.7,3.9,
Phosphorus,B1,P2,i144,Rollinia exsucca,Phosphorus>B1>P2>i144>Rollinia exsucca,5-Jul,2005,July,5.9,4,
Phosphorus,B1,P2,i145,Rollinia exsucca,Phosphorus>B1>P2>i145>Rollinia exsucca,Nov-99,1999,November,5,3.5,A bush with 6 individual trunks
Phosphorus,B1,P2,i145,Rollinia exsucca,Phosphorus>B1>P2>i145>Rollinia exsucca,May-00,2000,May,5.9,3.7,
Phosphorus,B1,P2,i145,Rollinia exsucca,Phosphorus>B1>P2>i145>Rollinia exsucca,1-Jun,2001,June,6.4,4.1,
Phosphorus,B1,P2,i145,Rollinia exsucca,Phosphorus>B1>P2>i145>Rollinia exsucca,2-Jul,2002,July,6.8,5.2,
Phosphorus,B1,P2,i145,Rollinia exsucca,Phosphorus>B1>P2>i145>Rollinia exsucca,4-Jul,2004,July,7.1,6,
Phosphorus,B1,P2,i145,Rollinia exsucca,Phosphorus>B1>P2>i145>Rollinia exsucca,5-Jul,2005,July,7.4,6.2,
Phosphorus,B1,P2,i146,Rollinia exsucca,Phosphorus>B1>P2>i146>Rollinia exsucca,Nov-99,1999,November,3.4,2.8,
Phosphorus,B1,P2,i146,Rollinia exsucca,Phosphorus>B1>P2>i146>Rollinia exsucca,May-00,2000,May,4.1,3.6,
Phosphorus,B1,P2,i146,Rollinia exsucca,Phosphorus>B1>P2>i146>Rollinia exsucca,1-Jun,2001,June,4.7,4,
Phosphorus,B1,P2,i146,Rollinia exsucca,Phosphorus>B1>P2>i146>Rollinia exsucca,2-Jul,2002,July,4.7,4.2,
Phosphorus,B1,P2,i147,Rollinia exsucca,Phosphorus>B1>P2>i147>Rollinia exsucca,Nov-99,1999,November,3.6,3.1,
Phosphorus,B1,P2,i147,Rollinia exsucca,Phosphorus>B1>P2>i147>Rollinia exsucca,May-00,2000,May,4.2,3.6,
Phosphorus,B1,P2,i147,Rollinia exsucca,Phosphorus>B1>P2>i147>Rollinia exsucca,1-Jun,2001,June,4.6,4,
Phosphorus,B1,P2,i147,Rollinia exsucca,Phosphorus>B1>P2>i147>Rollinia exsucca,2-Jul,2002,July,4.5,4.2,
Phosphorus,B1,P2,i147,Rollinia exsucca,Phosphorus>B1>P2>i147>Rollinia exsucca,4-Jul,2004,July,4.6,4.5,
Phosphorus,B1,P2,i147,Rollinia exsucca,Phosphorus>B1>P2>i147>Rollinia exsucca,5-Jul,2005,July,4.6,4.5,
Phosphorus,B1,P2,i148,Rollinia exsucca,Phosphorus>B1>P2>i148>Rollinia exsucca,Nov-99,1999,November,3.7,3.3,
Phosphorus,B1,P2,i148,Rollinia exsucca,Phosphorus>B1>P2>i148>Rollinia exsucca,May-00,2000,May,4.1,3.9,
Phosphorus,B1,P2,i148,Rollinia exsucca,Phosphorus>B1>P2>i148>Rollinia exsucca,1-Jun,2001,June,4.4,4.1,
Phosphorus,B1,P2,i148,Rollinia exsucca,Phosphorus>B1>P2>i148>Rollinia exsucca,2-Jul,2002,July,4.5,4.5,
Phosphorus,B1,P2,i148,Rollinia exsucca,Phosphorus>B1>P2>i148>Rollinia exsucca,4-Jul,2004,July,4.5,4.6,
Phosphorus,B1,P2,i148,Rollinia exsucca,Phosphorus>B1>P2>i148>Rollinia exsucca,5-Jul,2005,July,4.5,4.7,
Phosphorus,B1,P2,i149,Rollinia exsucca,Phosphorus>B1>P2>i149>Rollinia exsucca,Nov-99,1999,November,4.2,3.6,
Phosphorus,B1,P2,i149,Rollinia exsucca,Phosphorus>B1>P2>i149>Rollinia exsucca,May-00,2000,May,5.3,4,
Phosphorus,B1,P2,i149,Rollinia exsucca,Phosphorus>B1>P2>i149>Rollinia exsucca,1-Jun,2001,June,6.9,4,
Phosphorus,B1,P2,i149,Rollinia exsucca,Phosphorus>B1>P2>i149>Rollinia exsucca,2-Jul,2002,July,6.8,5,
Phosphorus,B1,P2,i149,Rollinia exsucca,Phosphorus>B1>P2>i149>Rollinia exsucca,4-Jul,2004,July,7,5.6,
Phosphorus,B1,P2,i149,Rollinia exsucca,Phosphorus>B1>P2>i149>Rollinia exsucca,5-Jul,2005,July,7,5.8,
Phosphorus,B1,P2,i150,Rollinia exsucca,Phosphorus>B1>P2>i150>Rollinia exsucca,Nov-99,1999,November,4.4,3.1,
Phosphorus,B1,P2,i150,Rollinia exsucca,Phosphorus>B1>P2>i150>Rollinia exsucca,May-00,2000,May,6.8,4,
Phosphorus,B1,P2,i150,Rollinia exsucca,Phosphorus>B1>P2>i150>Rollinia exsucca,1-Jun,2001,June,7,4.2,
Phosphorus,B1,P2,i150,Rollinia exsucca,Phosphorus>B1>P2>i150>Rollinia exsucca,2-Jul,2002,July,6.5,4,
Phosphorus,B1,P2,i150,Rollinia exsucca,Phosphorus>B1>P2>i150>Rollinia exsucca,4-Jul,2004,July,6.7,5,
Phosphorus,B1,P2,i150,Rollinia exsucca,Phosphorus>B1>P2>i150>Rollinia exsucca,5-Jul,2005,July,6.7,5.1,
Phosphorus,B1,P2,i151,Rollinia exsucca,Phosphorus>B1>P2>i151>Rollinia exsucca,Nov-99,1999,November,3.1,3.8,
Phosphorus,B1,P2,i151,Rollinia exsucca,Phosphorus>B1>P2>i151>Rollinia exsucca,May-00,2000,May,4.5,3.1,
Phosphorus,B1,P2,i151,Rollinia exsucca,Phosphorus>B1>P2>i151>Rollinia exsucca,1-Jun,2001,June,6.2,3.2,
Phosphorus,B1,P2,i151,Rollinia exsucca,Phosphorus>B1>P2>i151>Rollinia exsucca,2-Jul,2002,July,6.2,3.8,
Phosphorus,B1,P2,i151,Rollinia exsucca,Phosphorus>B1>P2>i151>Rollinia exsucca,4-Jul,2004,July,6.8,4.2,
Phosphorus,B1,P2,i151,Rollinia exsucca,Phosphorus>B1>P2>i151>Rollinia exsucca,5-Jul,2005,July,6.8,4.4,
Phosphorus,B1,P2,i152,Rollinia exsucca,Phosphorus>B1>P2>i152>Rollinia exsucca,Nov-99,1999,November,2.8,2.5,
Phosphorus,B1,P2,i152,Rollinia exsucca,Phosphorus>B1>P2>i152>Rollinia exsucca,May-00,2000,May,3.2,3.5,
Phosphorus,B1,P2,i152,Rollinia exsucca,Phosphorus>B1>P2>i152>Rollinia exsucca,1-Jun,2001,June,3.4,3.6,
Phosphorus,B1,P2,i152,Rollinia exsucca,Phosphorus>B1>P2>i152>Rollinia exsucca,2-Jul,2002,July,3.6,3.7,
Phosphorus,B1,P2,i153,Rollinia exsucca,Phosphorus>B1>P2>i153>Rollinia exsucca,Nov-99,1999,November,5.5,3.8,
Phosphorus,B1,P2,i153,Rollinia exsucca,Phosphorus>B1>P2>i153>Rollinia exsucca,May-00,2000,May,5.9,4,
Phosphorus,B1,P2,i153,Rollinia exsucca,Phosphorus>B1>P2>i153>Rollinia exsucca,1-Jun,2001,June,6.5,4.5,
Phosphorus,B1,P2,i153,Rollinia exsucca,Phosphorus>B1>P2>i153>Rollinia exsucca,2-Jul,2002,July,5.7,5,
Phosphorus,B1,P2,i153,Rollinia exsucca,Phosphorus>B1>P2>i153>Rollinia exsucca,4-Jul,2004,July,6.7,6,
Phosphorus,B1,P2,i153,Rollinia exsucca,Phosphorus>B1>P2>i153>Rollinia exsucca,5-Jul,2005,July,7,6.2,
Phosphorus,B1,P2,i154,Rollinia exsucca,Phosphorus>B1>P2>i154>Rollinia exsucca,Nov-99,1999,November,4.5,3.8,
Phosphorus,B1,P2,i154,Rollinia exsucca,Phosphorus>B1>P2>i154>Rollinia exsucca,May-00,2000,May,6.5,4,
Phosphorus,B1,P2,i154,Rollinia exsucca,Phosphorus>B1>P2>i154>Rollinia exsucca,1-Jun,2001,June,6.5,4.5,
Phosphorus,B1,P2,i154,Rollinia exsucca,Phosphorus>B1>P2>i154>Rollinia exsucca,2-Jul,2002,July,6.9,5,
Phosphorus,B1,P2,i154,Rollinia exsucca,Phosphorus>B1>P2>i154>Rollinia exsucca,4-Jul,2004,July,9.4,6,
Phosphorus,B1,P2,i154,Rollinia exsucca,Phosphorus>B1>P2>i154>Rollinia exsucca,5-Jul,2005,July,9.4,6.2,
Phosphorus,B2,P3,i52,Rollinia exsucca,Phosphorus>B2>P3>i52>Rollinia exsucca,Nov-99,1999,November,2.8,2.7,
Phosphorus,B2,P3,i52,Rollinia exsucca,Phosphorus>B2>P3>i52>Rollinia exsucca,May-00,2000,May,3.1,3,
Phosphorus,B2,P3,i52,Rollinia exsucca,Phosphorus>B2>P3>i52>Rollinia exsucca,1-Jun,2001,June,3.6,4,
Phosphorus,B2,P3,i52,Rollinia exsucca,Phosphorus>B2>P3>i52>Rollinia exsucca,2-Jul,2002,July,3.6,4.2,
Phosphorus,B2,P3,i52,Rollinia exsucca,Phosphorus>B2>P3>i52>Rollinia exsucca,4-Jul,2004,July,3.7,4.5,
Phosphorus,B2,P3,i52,Rollinia exsucca,Phosphorus>B2>P3>i52>Rollinia exsucca,5-Jul,2005,July,3.7,4.6,
Phosphorus,B2,P3,i53,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i53>Zanthoxylum rhoifolium,Nov-99,1999,November,2.1,2.8,
Phosphorus,B2,P3,i53,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i53>Zanthoxylum rhoifolium,May-00,2000,May,2.5,3.5,
Phosphorus,B2,P3,i53,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i53>Zanthoxylum rhoifolium,1-Jun,2001,June,2.8,3.6,
Phosphorus,B2,P3,i53,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i53>Zanthoxylum rhoifolium,2-Jul,2002,July,2.9,4,
Phosphorus,B2,P3,i53,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i53>Zanthoxylum rhoifolium,4-Jul,2004,July,3.1,4.5,
Phosphorus,B2,P3,i53,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i53>Zanthoxylum rhoifolium,5-Jul,2005,July,3.1,4.6,
Phosphorus,B2,P3,i54,Pseudima frutensis,Phosphorus>B2>P3>i54>Pseudima frutensis,Nov-99,1999,November,2.1,1.6,A bush with 6 individual trunks
Phosphorus,B2,P3,i54,Pseudima frutensis,Phosphorus>B2>P3>i54>Pseudima frutensis,May-00,2000,May,2.1,2,
Phosphorus,B2,P3,i54,Pseudima frutensis,Phosphorus>B2>P3>i54>Pseudima frutensis,1-Jun,2001,June,2.1,2.3,
Phosphorus,B2,P3,i55,Rollinia exsucca,Phosphorus>B2>P3>i55>Rollinia exsucca,Nov-99,1999,November,7.7,4.5,
Phosphorus,B2,P3,i55,Rollinia exsucca,Phosphorus>B2>P3>i55>Rollinia exsucca,May-00,2000,May,9.1,5.4,
Phosphorus,B2,P3,i55,Rollinia exsucca,Phosphorus>B2>P3>i55>Rollinia exsucca,1-Jun,2001,June,9.6,6.5,
Phosphorus,B2,P3,i55,Rollinia exsucca,Phosphorus>B2>P3>i55>Rollinia exsucca,2-Jul,2002,July,10.4,7.4,
Phosphorus,B2,P3,i55,Rollinia exsucca,Phosphorus>B2>P3>i55>Rollinia exsucca,4-Jul,2004,July,10.8,8.5,
Phosphorus,B2,P3,i55,Rollinia exsucca,Phosphorus>B2>P3>i55>Rollinia exsucca,5-Jul,2005,July,11.3,8.7,
Phosphorus,B2,P3,i56,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i56>Zanthoxylum rhoifolium,Nov-99,1999,November,2.9,3,
Phosphorus,B2,P3,i56,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i56>Zanthoxylum rhoifolium,May-00,2000,May,3,3.5,
Phosphorus,B2,P3,i57,Rollinia exsucca,Phosphorus>B2>P3>i57>Rollinia exsucca,Nov-99,1999,November,7.9,4.8,
Phosphorus,B2,P3,i57,Rollinia exsucca,Phosphorus>B2>P3>i57>Rollinia exsucca,May-00,2000,May,10,5.6,
Phosphorus,B2,P3,i57,Rollinia exsucca,Phosphorus>B2>P3>i57>Rollinia exsucca,1-Jun,2001,June,12,7,
Phosphorus,B2,P3,i57,Rollinia exsucca,Phosphorus>B2>P3>i57>Rollinia exsucca,2-Jul,2002,July,12.3,7.5,
Phosphorus,B2,P3,i57,Rollinia exsucca,Phosphorus>B2>P3>i57>Rollinia exsucca,4-Jul,2004,July,12.7,9,
Phosphorus,B2,P3,i58,Metrodorea flavida,Phosphorus>B2>P3>i58>Metrodorea flavida,Nov-99,1999,November,3.3,3.4,A bush with 13 individual trunks
Phosphorus,B2,P3,i58,Metrodorea flavida,Phosphorus>B2>P3>i58>Metrodorea flavida,May-00,2000,May,3.5,3.5,
Phosphorus,B2,P3,i58,Metrodorea flavida,Phosphorus>B2>P3>i58>Metrodorea flavida,1-Jun,2001,June,3.8,3.8,
Phosphorus,B2,P3,i58,Metrodorea flavida,Phosphorus>B2>P3>i58>Metrodorea flavida,2-Jul,2002,July,3.9,4,
Phosphorus,B2,P3,i58,Metrodorea flavida,Phosphorus>B2>P3>i58>Metrodorea flavida,4-Jul,2004,July,4.3,4.5,
Phosphorus,B2,P3,i58,Metrodorea flavida,Phosphorus>B2>P3>i58>Metrodorea flavida,5-Jul,2005,July,4.3,4.5,
Phosphorus,B2,P3,i59,Metrodorea flavida,Phosphorus>B2>P3>i59>Metrodorea flavida,Nov-99,1999,November,2.3,3.2,A bush with 2 indivudual trunks
Phosphorus,B2,P3,i59,Metrodorea flavida,Phosphorus>B2>P3>i59>Metrodorea flavida,May-00,2000,May,2.5,3.4,
Phosphorus,B2,P3,i59,Metrodorea flavida,Phosphorus>B2>P3>i59>Metrodorea flavida,1-Jun,2001,June,2.6,3.7,
Phosphorus,B2,P3,i59,Metrodorea flavida,Phosphorus>B2>P3>i59>Metrodorea flavida,2-Jul,2002,July,2.9,3.9,
Phosphorus,B2,P3,i59,Metrodorea flavida,Phosphorus>B2>P3>i59>Metrodorea flavida,4-Jul,2004,July,3.1,4.5,
Phosphorus,B2,P3,i59,Metrodorea flavida,Phosphorus>B2>P3>i59>Metrodorea flavida,5-Jul,2005,July,3.1,4.6,
Phosphorus,B2,P3,i60,Metrodorea flavida,Phosphorus>B2>P3>i60>Metrodorea flavida,Nov-99,1999,November,2,3.2,A bush with 2 indivudual trunks
Phosphorus,B2,P3,i60,Metrodorea flavida,Phosphorus>B2>P3>i60>Metrodorea flavida,May-00,2000,May,2.1,3.4,
Phosphorus,B2,P3,i60,Metrodorea flavida,Phosphorus>B2>P3>i60>Metrodorea flavida,1-Jun,2001,June,2.3,3.7,
Phosphorus,B2,P3,i60,Metrodorea flavida,Phosphorus>B2>P3>i60>Metrodorea flavida,2-Jul,2002,July,2.4,3.8,
Phosphorus,B2,P3,i60,Metrodorea flavida,Phosphorus>B2>P3>i60>Metrodorea flavida,4-Jul,2004,July,2.8,4,
Phosphorus,B2,P3,i60,Metrodorea flavida,Phosphorus>B2>P3>i60>Metrodorea flavida,5-Jul,2005,July,2.8,4.1,
Phosphorus,B2,P3,i61,Metrodorea flavida,Phosphorus>B2>P3>i61>Metrodorea flavida,Nov-99,1999,November,2.7,2.4,A bush with 3 individual trunks
Phosphorus,B2,P3,i61,Metrodorea flavida,Phosphorus>B2>P3>i61>Metrodorea flavida,May-00,2000,May,3,2.5,
Phosphorus,B2,P3,i61,Metrodorea flavida,Phosphorus>B2>P3>i61>Metrodorea flavida,1-Jun,2001,June,3.1,3,
Phosphorus,B2,P3,i61,Metrodorea flavida,Phosphorus>B2>P3>i61>Metrodorea flavida,2-Jul,2002,July,3.1,3.1,
Phosphorus,B2,P3,i61,Metrodorea flavida,Phosphorus>B2>P3>i61>Metrodorea flavida,4-Jul,2004,July,3.3,3.5,
Phosphorus,B2,P3,i61,Metrodorea flavida,Phosphorus>B2>P3>i61>Metrodorea flavida,5-Jul,2005,July,3.3,3.6,
Phosphorus,B2,P3,i62,Metrodorea flavida,Phosphorus>B2>P3>i62>Metrodorea flavida,Nov-99,1999,November,2.8,2.5,
Phosphorus,B2,P3,i62,Metrodorea flavida,Phosphorus>B2>P3>i62>Metrodorea flavida,May-00,2000,May,3.2,2.8,
Phosphorus,B2,P3,i62,Metrodorea flavida,Phosphorus>B2>P3>i62>Metrodorea flavida,1-Jun,2001,June,3.3,3.1,
Phosphorus,B2,P3,i62,Metrodorea flavida,Phosphorus>B2>P3>i62>Metrodorea flavida,2-Jul,2002,July,3.8,3.4,
Phosphorus,B2,P3,i62,Metrodorea flavida,Phosphorus>B2>P3>i62>Metrodorea flavida,4-Jul,2004,July,4.3,3.7,
Phosphorus,B2,P3,i62,Metrodorea flavida,Phosphorus>B2>P3>i62>Metrodorea flavida,5-Jul,2005,July,4.5,3.8,
Phosphorus,B2,P3,i63,Metrodorea flavida,Phosphorus>B2>P3>i63>Metrodorea flavida,Nov-99,1999,November,2.5,2.5,A bush with 2 indivudual trunks
Phosphorus,B2,P3,i63,Metrodorea flavida,Phosphorus>B2>P3>i63>Metrodorea flavida,May-00,2000,May,3.6,2.55,
Phosphorus,B2,P3,i63,Metrodorea flavida,Phosphorus>B2>P3>i63>Metrodorea flavida,1-Jun,2001,June,3,3,
Phosphorus,B2,P3,i63,Metrodorea flavida,Phosphorus>B2>P3>i63>Metrodorea flavida,2-Jul,2002,July,3.1,3.1,
Phosphorus,B2,P3,i63,Metrodorea flavida,Phosphorus>B2>P3>i63>Metrodorea flavida,4-Jul,2004,July,3.5,3.5,
Phosphorus,B2,P3,i63,Metrodorea flavida,Phosphorus>B2>P3>i63>Metrodorea flavida,5-Jul,2005,July,3.7,3.6,
Phosphorus,B2,P3,i64,Brosimum guianensis,Phosphorus>B2>P3>i64>Brosimum guianensis,Nov-99,1999,November,2.2,3.5,
Phosphorus,B2,P3,i64,Brosimum guianensis,Phosphorus>B2>P3>i64>Brosimum guianensis,May-00,2000,May,3.6,3.8,
Phosphorus,B2,P3,i64,Brosimum guianensis,Phosphorus>B2>P3>i64>Brosimum guianensis,1-Jun,2001,June,3.1,4,
Phosphorus,B2,P3,i64,Brosimum guianensis,Phosphorus>B2>P3>i64>Brosimum guianensis,2-Jul,2002,July,3.4,4.2,
Phosphorus,B2,P3,i64,Brosimum guianensis,Phosphorus>B2>P3>i64>Brosimum guianensis,4-Jul,2004,July,4.1,4.5,
Phosphorus,B2,P3,i64,Brosimum guianensis,Phosphorus>B2>P3>i64>Brosimum guianensis,5-Jul,2005,July,4.7,4.6,
Phosphorus,B2,P3,i65,Metrodorea flavida,Phosphorus>B2>P3>i65>Metrodorea flavida,Nov-99,1999,November,2.4,2.5,A bush with 2 indivudual trunks
Phosphorus,B2,P3,i65,Metrodorea flavida,Phosphorus>B2>P3>i65>Metrodorea flavida,May-00,2000,May,3.8,2.6,
Phosphorus,B2,P3,i65,Metrodorea flavida,Phosphorus>B2>P3>i65>Metrodorea flavida,1-Jun,2001,June,3,3,
Phosphorus,B2,P3,i65,Metrodorea flavida,Phosphorus>B2>P3>i65>Metrodorea flavida,2-Jul,2002,July,3.2,3.1,
Phosphorus,B2,P3,i65,Metrodorea flavida,Phosphorus>B2>P3>i65>Metrodorea flavida,4-Jul,2004,July,3.4,3.2,
Phosphorus,B2,P3,i65,Metrodorea flavida,Phosphorus>B2>P3>i65>Metrodorea flavida,5-Jul,2005,July,3.5,3.3,
Phosphorus,B2,P3,i66,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i66>Zanthoxylum rhoifolium,Nov-99,1999,November,3.7,3.5,
Phosphorus,B2,P3,i66,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i66>Zanthoxylum rhoifolium,May-00,2000,May,5,3.6,
Phosphorus,B2,P3,i66,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i66>Zanthoxylum rhoifolium,1-Jun,2001,June,5.4,4,
Phosphorus,B2,P3,i66,Zanthoxylum rhoifolium,Phosphorus>B2>P3>i66>Zanthoxylum rhoifolium,2-Jul,2002,July,5.7,4.3,
Phosphorus,B2,P3,i67,Rollinia exsucca,Phosphorus>B2>P3>i67>Rollinia exsucca,Nov-99,1999,November,5.4,3.9,
Phosphorus,B2,P3,i67,Rollinia exsucca,Phosphorus>B2>P3>i67>Rollinia exsucca,May-00,2000,May,6.1,4,
Phosphorus,B2,P3,i67,Rollinia exsucca,Phosphorus>B2>P3>i67>Rollinia exsucca,1-Jun,2001,June,6.8,4.5,
Phosphorus,B2,P3,i67,Rollinia exsucca,Phosphorus>B2>P3>i67>Rollinia exsucca,2-Jul,2002,July,7.2,5,
Phosphorus,B2,P3,i67,Rollinia exsucca,Phosphorus>B2>P3>i67>Rollinia exsucca,4-Jul,2004,July,7.4,5.5,
Phosphorus,B2,P3,i67,Rollinia exsucca,Phosphorus>B2>P3>i67>Rollinia exsucca,5-Jul,2005,July,7.5,5.7,
Phosphorus,B2,P3,i68,Rollinia exsucca,Phosphorus>B2>P3>i68>Rollinia exsucca,Nov-99,1999,November,3.4,3.5,
Phosphorus,B2,P3,i68,Rollinia exsucca,Phosphorus>B2>P3>i68>Rollinia exsucca,May-00,2000,May,4.5,4.2,
Phosphorus,B2,P3,i68,Rollinia exsucca,Phosphorus>B2>P3>i68>Rollinia exsucca,1-Jun,2001,June,4.9,5,
Phosphorus,B2,P3,i68,Rollinia exsucca,Phosphorus>B2>P3>i68>Rollinia exsucca,2-Jul,2002,July,5.6,5,
Phosphorus,B2,P3,i68,Rollinia exsucca,Phosphorus>B2>P3>i68>Rollinia exsucca,4-Jul,2004,July,5.7,6,
Phosphorus,B2,P3,i68,Rollinia exsucca,Phosphorus>B2>P3>i68>Rollinia exsucca,5-Jul,2005,July,5.7,6.1,
Phosphorus,B2,P3,i69,Metrodorea flavida,Phosphorus>B2>P3>i69>Metrodorea flavida,Nov-99,1999,November,2.7,3,A bush with 10 individual trunks
Phosphorus,B2,P3,i69,Metrodorea flavida,Phosphorus>B2>P3>i69>Metrodorea flavida,May-00,2000,May,2.7,3.15,
Phosphorus,B2,P3,i69,Metrodorea flavida,Phosphorus>B2>P3>i69>Metrodorea flavida,1-Jun,2001,June,3,3.15,
Phosphorus,B2,P3,i69,Metrodorea flavida,Phosphorus>B2>P3>i69>Metrodorea flavida,2-Jul,2002,July,3.2,3.5,
Phosphorus,B2,P3,i69,Metrodorea flavida,Phosphorus>B2>P3>i69>Metrodorea flavida,4-Jul,2004,July,3.4,4.2,
Phosphorus,B2,P3,i69,Metrodorea flavida,Phosphorus>B2>P3>i69>Metrodorea flavida,5-Jul,2005,July,3.5,4.3,
Phosphorus,B2,P3,i70,Rollinia exsucca,Phosphorus>B2>P3>i70>Rollinia exsucca,Nov-99,1999,November,2.8,3,
Phosphorus,B2,P3,i70,Rollinia exsucca,Phosphorus>B2>P3>i70>Rollinia exsucca,May-00,2000,May,4.2,3.8,
Phosphorus,B2,P3,i70,Rollinia exsucca,Phosphorus>B2>P3>i70>Rollinia exsucca,1-Jun,2001,June,4.4,4,
Phosphorus,B2,P3,i70,Rollinia exsucca,Phosphorus>B2>P3>i70>Rollinia exsucca,2-Jul,2002,July,4.4,4.2,
Phosphorus,B2,P3,i70,Rollinia exsucca,Phosphorus>B2>P3>i70>Rollinia exsucca,4-Jul,2004,July,4.6,5.3,
Phosphorus,B2,P3,i70,Rollinia exsucca,Phosphorus>B2>P3>i70>Rollinia exsucca,5-Jul,2005,July,4.6,5.4,
Phosphorus,B2,P3,i71,Rollinia exsucca,Phosphorus>B2>P3>i71>Rollinia exsucca,Nov-99,1999,November,2.7,3,
Phosphorus,B2,P3,i71,Rollinia exsucca,Phosphorus>B2>P3>i71>Rollinia exsucca,May-00,2000,May,4.2,3.65,
Phosphorus,B2,P3,i71,Rollinia exsucca,Phosphorus>B2>P3>i71>Rollinia exsucca,1-Jun,2001,June,4.9,4,
Phosphorus,B2,P3,i71,Rollinia exsucca,Phosphorus>B2>P3>i71>Rollinia exsucca,2-Jul,2002,July,5.9,4.3,
Phosphorus,B2,P3,i71,Rollinia exsucca,Phosphorus>B2>P3>i71>Rollinia exsucca,4-Jul,2004,July,7.5,5.2,
Phosphorus,B2,P3,i71,Rollinia exsucca,Phosphorus>B2>P3>i71>Rollinia exsucca,5-Jul,2005,July,7.7,5.5,
Phosphorus,B2,P3,i72,Rollinia exsucca,Phosphorus>B2>P3>i72>Rollinia exsucca,Nov-99,1999,November,2.6,3,
Phosphorus,B2,P3,i72,Rollinia exsucca,Phosphorus>B2>P3>i72>Rollinia exsucca,May-00,2000,May,4.3,3.65,
Phosphorus,B2,P3,i72,Rollinia exsucca,Phosphorus>B2>P3>i72>Rollinia exsucca,1-Jun,2001,June,4.5,4,
Phosphorus,B2,P3,i72,Rollinia exsucca,Phosphorus>B2>P3>i72>Rollinia exsucca,2-Jul,2002,July,5.2,4.2,
Phosphorus,B2,P3,i72,Rollinia exsucca,Phosphorus>B2>P3>i72>Rollinia exsucca,4-Jul,2004,July,5.5,5,
Phosphorus,B2,P3,i72,Rollinia exsucca,Phosphorus>B2>P3>i72>Rollinia exsucca,5-Jul,2005,July,6.2,5.3,
Phosphorus,B2,P3,i73,Rollinia exsucca,Phosphorus>B2>P3>i73>Rollinia exsucca,Nov-99,1999,November,4.6,3.84,
Phosphorus,B2,P3,i73,Rollinia exsucca,Phosphorus>B2>P3>i73>Rollinia exsucca,May-00,2000,May,6,4.25,
Phosphorus,B2,P3,i73,Rollinia exsucca,Phosphorus>B2>P3>i73>Rollinia exsucca,1-Jun,2001,June,8,5,
Phosphorus,B2,P3,i73,Rollinia exsucca,Phosphorus>B2>P3>i73>Rollinia exsucca,2-Jul,2002,July,8.2,5.5,
Phosphorus,B2,P3,i73,Rollinia exsucca,Phosphorus>B2>P3>i73>Rollinia exsucca,4-Jul,2004,July,10,7,
Phosphorus,B2,P3,i73,Rollinia exsucca,Phosphorus>B2>P3>i73>Rollinia exsucca,5-Jul,2005,July,10,7.4,
